Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/admin/users/,23,0,11,11.412026077184988,5.5877999402582645,17.86060002632439,18430.0,0.2597779865711716,0.0,11,13,13,13,14,16,18,18,18,18,18
GET,/api/vk/token-status,53,0,810,822.0996698144963,737.8737999824807,960.6158999959007,71.0,0.5986188386205259,0.0,810,840,860,870,920,940,950,960,960,960,960
GET,/candidate/dossier/[id],44,0,9,8.898372740738772,5.905300029553473,16.59539993852377,31391.0,0.4969665830057196,0.0,9,10,10,11,11,12,17,17,17,17,17
GET,/candidate/history,143,0,23,23.29267552806312,12.32710003387183,56.3023000722751,163684.0,1.6151413947685886,0.0,23,24,26,26,33,40,51,54,56,56,56
GET,/candidate/new,32,0,10,9.501781256403774,5.08810009341687,13.908299966715276,29934.0,0.36143024218597786,0.0,10,11,11,11,12,13,14,14,14,14,14
GET,/candidate/new [csrf-refresh],22,0,8,9.717813629487699,5.96049998421222,21.64900000207126,29934.0,0.2484832915028598,0.0,9,9,11,11,14,21,22,22,22,22,22
POST,/candidate/start [invalid INN],22,0,8,7.8391318093054,5.502899992279708,10.729999979957938,76.0,0.2484832915028598,0.0,8,9,9,9,9,10,11,11,11,11,11
GET,/chat/,59,0,9,9.743879659701202,4.8717999598011374,23.923099972307682,23770.0,0.6663870090303967,0.0,9,11,12,12,13,16,16,24,24,24,24
GET,/chat/api/messages [GET],37,0,8,8.544045937801334,4.800700000487268,34.63379992172122,255.0,0.4179037175275369,0.0,8,9,9,9,12,15,35,35,35,35,35
POST,/chat/api/messages [POST],18,0,12,12.774999984281344,8.25549999717623,17.68729998730123,114.0,0.20330451122961254,0.0,13,14,15,15,17,18,18,18,18,18,18
DELETE,/chat/api/messages/[id] [DELETE],18,0,10,10.544172235919783,5.9495000168681145,17.01780001167208,12.0,0.20330451122961254,0.0,10,10,12,12,14,17,17,17,17,17,17
GET,/company/history,117,0,14,16.15289572534812,7.697199936956167,66.09149998985231,71951.0,1.3214793229924817,0.0,14,16,18,19,24,32,34,41,66,66,66
GET,/company/new,44,0,9,10.036418185336515,5.489800008945167,18.710699980147183,23108.0,0.4969665830057196,0.0,10,11,12,12,13,15,19,19,19,19,19
GET,/company/new [csrf-refresh],18,0,9,10.61691665219971,5.793399992398918,21.326799993403256,23108.0,0.20330451122961254,0.0,10,11,12,13,15,21,21,21,21,21,21
POST,/company/start [invalid INN],18,0,8,7.828038890794334,5.554500035941601,10.516900103539228,76.0,0.20330451122961254,0.0,8,9,9,9,10,11,11,11,11,11,11
GET,/dashboard,137,0,9,9.710095620571371,5.248600034974515,33.91670004930347,24768.0,1.5473732243587177,0.0,9,11,11,11,13,15,18,22,34,34,34
GET,/login [GET],25,0,10,10.768391997553408,5.63439994584769,18.05790001526475,42921.0,0.2823673767077952,0.0,10,13,14,14,15,18,18,18,18,18,18
POST,/login [POST],25,0,300,302.1405120007694,272.19270006753504,342.89149998221546,24768.0,0.2823673767077952,0.0,300,310,310,320,320,330,340,340,340,340,340
GET,/subscribe,13,0,17,22.572469234896396,12.317399960011244,77.30539992917329,29934.0,0.14683103588805352,0.0,17,20,22,23,23,77,77,77,77,77,77
,Aggregated,868,0,12,71.04511728147067,4.800700000487268,960.6158999959007,50201.410138248844,9.80379531929465,0.0,12,15,19,22,43,770,850,880,960,960,960
