Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/admin/users/,177,0,2600,2678.1037299470227,19.62699997238815,10691.106700105593,18430.0,1.4832650551695776,0.0,2600,2700,2900,3000,3400,4800,5400,6200,11000,11000,11000
GET,/api/vk/token-status,399,9,4100,4145.857922057971,1158.6576999397948,11216.170400031842,69.3984962406015,3.3436313955517596,0.0754202570425209,4100,4400,4600,4700,5500,6600,7200,8700,11000,11000,11000
GET,/candidate/dossier/[id],448,2,2600,2570.332532589808,11.17579999845475,8255.4462000262,31250.86160714286,3.7542527950054847,0.0167600571205602,2600,2700,2800,2900,3300,4900,5400,5600,8300,8300,8300
GET,/candidate/history,1600,18,3000,2956.959354812716,103.57759997714311,9249.122300068848,161842.555,13.40804569644816,0.1508405140850418,3000,3100,3200,3300,3800,5400,6000,6700,8300,9200,9200
GET,/candidate/new,303,4,2600,2548.0410732680825,10.413800016976893,7198.011199943721,29538.831683168315,2.53914865376487,0.0335201142411204,2600,2700,2800,2900,3300,4700,5100,5800,7200,7200,7200
GET,/candidate/new [csrf-refresh],141,1,2600,2708.5351120599657,18.170799943618476,5657.691799919121,29721.702127659573,1.181584026999494,0.0083800285602801,2600,2700,3000,3100,4100,4900,5500,5600,5700,5700,5700
POST,/candidate/start [invalid INN],139,0,2600,2563.8235273399127,12.314200052060187,6503.676300053485,76.0,1.1648239698789338,0.0,2600,2700,2900,3000,4100,5400,5600,5900,6500,6500,6500
GET,/chat/,580,5,2600,2629.193293963607,9.703599964268506,9209.349800017662,23565.08620689655,4.860416564962458,0.041900142801400496,2600,2700,2900,3000,3600,5100,5500,7600,9200,9200,9200
GET,/chat/api/messages [GET],293,4,2600,2576.2670627972366,5.125500028952956,7935.523699969053,712.5938566552901,2.455348368162069,0.0335201142411204,2600,2700,2800,2900,3300,5000,5700,6200,7900,7900,7900
POST,/chat/api/messages [POST],172,1,2600,2575.886923260039,16.3527000695467,9888.567400048487,114.13953488372093,1.441364912368177,0.0083800285602801,2600,2700,2800,3000,3300,4900,5300,6000,9900,9900,9900
DELETE,/chat/api/messages/[id] [DELETE],164,0,2600,2607.019429870245,14.218600001186132,7438.012400059961,12.0,1.3743246838859362,0.0,2600,2800,2900,3000,3300,5100,5700,6400,7400,7400,7400
GET,/company/history,1027,11,2800,2877.6542784820945,19.568099989555776,8417.312999954447,71180.34664070107,8.606289331407663,0.09218031416308109,2800,2900,3100,3200,3800,5300,5700,6600,8300,8400,8400
GET,/company/new,323,5,2600,2651.683119816948,13.70640005916357,9484.928300022148,22750.291021671826,2.7067492249704723,0.041900142801400496,2600,2700,2900,3100,3900,5100,5600,6500,9500,9500,9500
GET,/company/new [csrf-refresh],145,3,2600,2784.49480275479,18.655199906788766,6438.048099982552,22629.90344827586,1.2151041412406145,0.025140085680840297,2600,2700,2800,3000,4800,5200,5600,6300,6400,6400,6400
POST,/company/start [invalid INN],140,1,2600,2649.72616857267,15.123399905860424,7259.872599970549,75.45714285714286,1.173203998439214,0.0083800285602801,2600,2700,2800,2900,4000,5000,5200,5500,7300,7300,7300
GET,/dashboard,1223,12,2600,2620.7105406377814,12.438899953849614,11752.108299988322,24524.97792313982,10.248774929222561,0.10056034272336119,2600,2700,2800,3000,3500,5000,5400,6000,9000,12000,12000
GET,/login [GET],463,21,710,1277.2892295897357,17.779999994672835,7175.890699960291,39680.41684665227,3.879953223409686,0.1759805997658821,710,1700,2200,2500,2800,3600,4500,5900,7200,7200,7200
POST,/login [POST],442,42,4500,4473.845322172335,249.77019999641925,12177.623299998231,22414.47963800905,3.703972623643804,0.3519611995317642,4600,6000,6600,7100,8200,9100,11000,11000,12000,12000,12000
GET,/subscribe,142,5,5400,5684.9535760505805,32.453699968755245,13138.269099988975,28879.985915492958,1.1899640555597741,0.041900142801400496,5500,5700,6100,6300,7800,8700,12000,12000,13000,13000,13000
,Aggregated,8321,144,2700,2864.962627484949,5.125500028952956,13138.269099988975,54008.496935464485,69.73021765009071,1.2067241126803343,2700,3000,3200,3400,4900,5600,7100,8000,11000,13000,13000
