Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/admin/users/,7,0,14,12.234085738392812,8.685900014825165,15.39229997433722,18430.0,0.11919934070709853,0.0,14,14,14,14,15,15,15,15,15,15,15
GET,/api/vk/token-status,7,0,760,811.1015999789482,714.7740999935195,1121.8319999752566,71.0,0.11919934070709853,0.0,760,790,810,810,1100,1100,1100,1100,1100,1100,1100
GET,/candidate/dossier/[id],21,0,9,9.534685717274746,5.889799911528826,14.80120001360774,31391.0,0.3575980221212956,0.0,9,11,11,12,12,13,15,15,15,15,15
GET,/candidate/history,51,0,22,23.039617639619348,13.511600089259446,52.736699930392206,163684.0,0.8684523394374322,0.0,22,24,25,26,28,31,32,53,53,53,53
GET,/candidate/new,11,0,9,9.175363621166484,6.01550005376339,13.554300065152347,29934.0,0.1873132496825834,0.0,9,10,11,11,11,14,14,14,14,14,14
GET,/candidate/new [csrf-refresh],4,0,9,9.768174961209297,7.888799998909235,12.977599981240928,29934.0,0.06811390897548487,0.0,9,9,13,13,13,13,13,13,13,13,13
POST,/candidate/start [invalid INN],4,0,8,8.530925028026104,7.237200043164194,10.934900026768446,76.0,0.06811390897548487,0.0,8,8,11,11,11,11,11,11,11,11,11
GET,/chat/,11,0,9,9.400963635099204,6.814899970777333,13.485300005413592,23770.0,0.1873132496825834,0.0,9,11,11,11,11,13,13,13,13,13,13
GET,/chat/api/messages [GET],8,0,8,9.941925018210895,6.608300027437508,22.951000020839274,255.0,0.13622781795096975,0.0,8,9,10,10,23,23,23,23,23,23,23
POST,/chat/api/messages [POST],10,0,14,13.835210003890097,7.570600020699203,15.892700059339404,114.0,0.17028477243871218,0.0,15,15,15,15,16,16,16,16,16,16,16
DELETE,/chat/api/messages/[id] [DELETE],10,0,10,11.004280007909983,7.091399980708957,14.208099921233952,12.0,0.17028477243871218,0.0,12,12,13,14,14,14,14,14,14,14,14
GET,/company/history,34,0,14,14.41406471627381,8.035100065171719,21.780700073577464,71951.0,0.5789682262916215,0.0,15,17,18,19,20,21,22,22,22,22,22
GET,/company/new,12,0,11,12.326124987642592,7.618699921295047,24.79629998560995,23108.0,0.20434172692645464,0.0,11,12,12,12,22,25,25,25,25,25,25
GET,/company/new [csrf-refresh],8,0,10,10.041762492619455,7.0417000679299235,12.186600011773407,23108.0,0.13622781795096975,0.0,11,11,12,12,12,12,12,12,12,12,12
POST,/company/start [invalid INN],8,0,7,7.156587496865541,6.1691999435424805,8.18440003786236,76.0,0.13622781795096975,0.0,7,8,8,8,8,8,8,8,8,8,8
GET,/dashboard,26,0,9,9.485665364011835,5.730899982154369,16.106899944134057,24768.0,0.4427404083406517,0.0,9,11,11,12,12,13,16,16,16,16,16
GET,/login [GET],10,0,10,11.355389968957752,4.5943999430164695,16.80399989709258,42921.0,0.17028477243871218,0.0,12,14,14,15,17,17,17,17,17,17,17
POST,/login [POST],10,0,270,278.7912800209597,265.457300003618,302.25230008363724,24768.0,0.17028477243871218,0.0,280,280,290,290,300,300,300,300,300,300,300
GET,/subscribe,7,0,18,17.354328551196627,13.958600000478327,19.67589999549091,29934.0,0.11919934070709853,0.0,18,18,20,20,20,20,20,20,20,20,20
,Aggregated,259,0,12,45.51821544049056,4.5943999430164695,1121.8319999752566,55174.4555984556,4.410375606162646,0.0,12,16,20,21,26,270,740,790,1100,1100,1100
