Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/admin/users/,199,0,29,59.355227639383855,7.077799993567169,526.5250999946147,18430.0,1.6745529150449898,0.0,29,40,56,66,140,240,470,510,530,530,530
GET,/api/vk/token-status,447,0,1400,1424.2126769571141,777.125799912028,2161.1006000312045,71.0,3.7614329297744247,0.0,1400,1500,1600,1700,1700,1900,2000,2000,2200,2200,2200
GET,/candidate/dossier/[id],588,0,26,74.69822040546786,5.966600030660629,930.9921000385657,31391.0,4.947925196213337,0.0,27,41,65,100,210,330,480,690,930,930,930
GET,/candidate/history,1548,0,97,199.987130815591,11.87799999024719,1276.2774999719113,163684.0,13.026170414520825,0.0,97,220,300,350,500,670,900,1000,1300,1300,1300
GET,/candidate/new,346,0,21,63.01668179026304,5.767100024968386,1046.8644000357017,29934.0,2.911534214098324,0.0,21,33,69,84,160,290,450,520,1000,1000,1000
GET,/candidate/new [csrf-refresh],192,0,18,51.44238802010174,5.742400069721043,618.1072000181302,29934.0,1.6156490436614979,0.0,18,28,44,53,110,260,430,530,620,620,620
POST,/candidate/start [invalid INN],192,0,16,48.85608124459395,4.652500036172569,717.6127000711858,76.0,1.6156490436614979,0.0,16,25,35,48,140,200,440,510,720,720,720
GET,/chat/,580,0,21,61.31146034197721,6.1311000026762486,968.7962000025436,23770.0,4.880606486060775,0.0,21,29,44,66,190,290,440,490,970,970,970
GET,/chat/api/messages [GET],357,0,18,55.015606163278306,5.032100016251206,559.6457000356168,266.1764705882353,3.0040974405580974,0.0,18,25,35,51,150,310,440,470,560,560,560
POST,/chat/api/messages [POST],211,0,24,54.93461422266889,7.392999948933721,876.1318000033498,114.0,1.7755309802738335,0.0,24,36,48,66,130,200,310,430,880,880,880
DELETE,/chat/api/messages/[id] [DELETE],210,0,21,48.39309380289966,6.983700091950595,501.54540000949055,12.0,1.7671161415047631,0.0,21,31,38,61,130,170,310,480,500,500,500
GET,/company/history,1028,0,69,137.06396361969226,7.081100018694997,1318.2685999199748,71951.0,8.65045425460427,0.0,69,140,200,230,350,460,640,700,1100,1300,1300
GET,/company/new,403,0,22,57.20994664961588,5.280399927869439,527.9284999705851,23108.0,3.3911800239353314,0.0,22,34,55,81,160,250,350,390,530,530,530
GET,/company/new [csrf-refresh],196,0,19,50.41348724982378,6.149500026367605,433.08270000852644,23108.0,1.649308398737779,0.0,19,26,38,63,130,250,400,430,430,430,430
POST,/company/start [invalid INN],196,0,15,47.02402500326422,5.105399992316961,436.12129997927696,76.0,1.649308398737779,0.0,15,20,28,40,130,250,390,430,440,440,440
GET,/dashboard,1312,0,20,57.83348750149499,4.757200018502772,606.7357000429183,24768.0,11.040268465020235,0.0,20,31,48,72,160,280,400,440,580,610,610
GET,/login [GET],200,0,28,29.09271699609235,9.623999940231442,61.400000005960464,42921.0,1.6829677538140602,0.0,28,34,36,40,43,49,54,56,61,61,61
POST,/login [POST],200,0,510,569.8078184993938,323.7921000691131,1670.9175000432879,24768.0,1.6829677538140602,0.0,510,590,650,680,840,940,1100,1300,1700,1700,1700
GET,/subscribe,207,0,41,121.06743429681727,12.147099943831563,1443.301200051792,29934.0,1.7418716251975523,0.0,41,64,110,170,350,550,740,850,1400,1400,1400
,Aggregated,8612,0,35,176.93069621463576,4.652500036172569,2161.1006000312045,51743.99674872271,72.46859147923344,0.0,35,82,150,230,470,1100,1500,1700,2000,2200,2200
